state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
726900000	-50298.858434318245	-5738.382577589881	-44560.475856728364	8.110740105998612	2017.941314688522	122.95856261636115	5.980841134957081	9.724620125882616	0.3285449562720619	0.20592952540081372	0.2366964601593049	0.22882905816781293	0.2249096240989961	0.0023574247649380707	0.002113884825827603	0.0018877866842556847	0.9128080863099988	0.09361525284102923	2.3238715133594816	0.9415576655186744	2.052398233206472	-44560.475856728364	-4752.222150280621	-988.1313438752891
727200000	-50268.078526366444	-5707.498701908002	-44560.579824458444	6.44586217522276	2019.6061926192976	115.4824883351247	5.38508158686664	9.048193757102524	0.32193891035662975	0.1991338233427906	0.24810732050347062	0.23081994579710316	0.24870994251814715	0.0025250937458652445	0.002567267801679644	0.0019247248158422788	0.9949299121200781	0.007638380924520637	2.4907931711763522	1.0094238026642364	2.082443500944867	-44560.579824458444	-4752.222150280621	-957.365225979804
727500000	-50271.42808602384	-5721.987783688606	-44549.440302335235	6.424904226083381	2019.6271505684372	119.89560648953658	5.088415942305341	8.908252026400481	0.3238761554381416	0.202471583756746	0.23938807401267828	0.2342641867924283	0.2106373705933892	0.0023057377511508698	0.0021927020366756572	0.0019360523544536775	0.8721376081651402	0.01463819788932063	2.284428419432712	1.04645466911791	2.1932622885251982	-44549.440302335235	-4752.222150280621	-972.0950946369503
727800000	-50322.226325844706	-5745.6472370072415	-44576.57908883746	6.168401517968462	2019.883653276552	124.82758629440575	5.696905484849242	9.103738271776129	0.32760224627777756	0.199484719751897	0.24041015360662477	0.2325028803636949	0.24244027759989042	0.0026293742092676963	0.0027613056534750643	0.0019083897931742341	0.9339154505146796	0.08669134393048943	2.530553825436552	1.0413457045296397	2.086209250866229	-44576.57908883746	-4752.222150280621	-995.4406445946187
728100000	-50290.691091178574	-5705.9068509263725	-44584.7842402522	5.472530835363632	2020.5795239591569	113.79095310055351	4.6390795097659385	9.466309893742498	0.3386644243278276	0.20124316063336098	0.23470245586926677	0.22538995916953897	0.20043753933194713	0.0024874935925362097	0.0024882814469807855	0.002001422588542491	0.9629938447046846	0.030575923681348708	2.469727856322085	0.8887959816778377	2.179325251984516	-44584.7842402522	-4752.222150280621	-955.9473516056593
728400000	-50248.05995069703	-5685.857831685571	-44562.20211901146	5.166463115736509	2020.885591678784	110.91776025923184	5.162976640306879	8.789176525555334	0.33383146975378114	0.19896065817996386	0.23947246256452073	0.22773540950172855	0.23772483784561405	0.0025574630633682744	0.002561772000140062	0.0020678236510006122	0.9532339327650897	0.037496108042780876	2.347994039264419	0.9992883469578366	2.404680757911648	-44562.20211901146	-4752.222150280621	-935.8209916990219
728700000	-50296.617013323186	-5740.362756976936	-44556.25425634625	5.539727442214101	2020.5123273523063	117.5588096743319	5.845334856884051	9.213052445724903	0.3331187349986757	0.19992696037493385	0.23287800559138114	0.23407629903500346	0.21322506292122573	0.002376467636518671	0.0022435527970830057	0.0019217066385481317	0.8552079843948571	0.007733547133283568	2.1654462480830716	0.9413404709087194	2.31518713959678	-44556.25425634625	-4752.222150280621	-990.2386242351713
729000000	-50264.326430489244	-5691.644601766172	-44572.68182872307	5.501526661200211	2020.5505281333203	112.48253269144766	4.8044753263416755	8.64223124626962	0.3373325676641725	0.1975499615902962	0.237512072661019	0.22760539808450705	0.21029742572708113	0.002569545289861486	0.0024877031515107063	0.002012829019046663	0.9174506305836646	0.01651206179472896	2.3734361810698568	0.992113333531353	2.085258446174361	-44572.68182872307	-4752.222150280621	-941.7635234273538
729300000	-50280.83460424596	-5713.85279955799	-44566.981804687966	8.131191999907166	2017.9208627946134	121.10624430266279	5.184338366487065	9.56056264387709	0.33473190630439537	0.19735076843222144	0.2433648130915838	0.22455251217179462	0.24665876062623743	0.0024405690476218566	0.0022951092782940857	0.0018877877126832906	0.965156757600843	0.02578131462903106	2.3360173629199634	0.9606913634180613	2.1259151209707805	-44566.981804687966	-4752.222150280621	-963.7006215381552
729600000	-50214.624410262084	-5657.084175316929	-44557.540234945154	6.314293691725539	2019.7377611027948	107.56760487604913	4.596249918919509	9.545245323936877	0.32605790642924304	0.19734755447538893	0.24327934353685224	0.23331519555851074	0.23828874790590224	0.002912691003037196	0.0029440308237010985	0.00218580427312266	0.984971193778872	0.017546574383902364	2.1564852127171217	0.9856963905872774	2.0861058369477643	-44557.540234945154	-4752.222150280621	-906.9046447633717
